,model,C0,S0,pato0,k_ap,GFP
200,simple,0.1,0.1,9.0,1e-06,1.2631579175021705
201,simple,0.1,0.1,9.0,1.1768119524349991e-06,1.2631579333300835
202,simple,0.1,0.1,9.0,1.3848863713938717e-06,1.263157948215821
203,simple,0.1,0.1,9.0,1.6297508346206435e-06,1.2631579559976938
204,simple,0.1,0.1,9.0,1.917910261672489e-06,1.2631579893653275
205,simple,0.1,0.1,9.0,2.2570197196339214e-06,1.2631580322184368
206,simple,0.1,0.1,9.0,2.656087782946684e-06,1.2631580904742412
207,simple,0.1,0.1,9.0,3.1257158496882352e-06,1.2631581574944963
208,simple,0.1,0.1,9.0,3.6783797718286343e-06,1.2631582727369755
209,simple,0.1,0.1,9.0,4.328761281083061e-06,1.2631584113124732
210,simple,0.1,0.1,9.0,5.0941380148163755e-06,1.263158616066611
211,simple,0.1,0.1,9.0,5.994842503189409e-06,1.2631588918078946
212,simple,0.1,0.1,9.0,7.0548023107186455e-06,1.2631592730472367
213,simple,0.1,0.1,9.0,8.302175681319735e-06,1.2631598044873595
214,simple,0.1,0.1,9.0,9.770099572992246e-06,1.2631605443322114
215,simple,0.1,0.1,9.0,1.1497569953977357e-05,1.2631615654008694
216,simple,0.1,0.1,9.0,1.3530477745798076e-05,1.263162976534903
217,simple,0.1,0.1,9.0,1.5922827933410938e-05,1.2631649392064925
218,simple,0.1,0.1,9.0,1.873817422860383e-05,1.263167643448918
219,simple,0.1,0.1,9.0,2.2051307399030455e-05,1.2631714036280823
220,simple,0.1,0.1,9.0,2.5950242113997373e-05,1.2631765969178244
221,simple,0.1,0.1,9.0,3.053855508833412e-05,1.2631837919448539
222,simple,0.1,0.1,9.0,3.5938136638046256e-05,1.2631937717694257
223,simple,0.1,0.1,9.0,4.229242874389499e-05,1.2632075646632914
224,simple,0.1,0.1,9.0,4.977023564332114e-05,1.2632266652011794
225,simple,0.1,0.1,9.0,5.857020818056661e-05,1.2632531220548042
226,simple,0.1,0.1,9.0,6.892612104349695e-05,1.263289745342606
227,simple,0.1,0.1,9.0,8.111308307896872e-05,1.2633404464280114
228,simple,0.1,0.1,9.0,9.545484566618328e-05,1.2634106146457675
229,simple,0.1,0.1,9.0,0.00011233240329780277,1.2635077335294613
230,simple,0.1,0.1,9.0,0.00013219411484660288,1.2636421471337933
231,simple,0.1,0.1,9.0,0.00015556761439304722,1.2638281512537464
232,simple,0.1,0.1,9.0,0.0001830738280295368,1.2640854801457504
233,simple,0.1,0.1,9.0,0.00021544346900318823,1.2644414202757075
234,simple,0.1,0.1,9.0,0.00025353644939701115,1.2649336377749967
235,simple,0.1,0.1,9.0,0.0002983647240283337,1.2656141017311107
236,simple,0.1,0.1,9.0,0.0003511191734215131,1.2665544374809572
237,simple,0.1,0.1,9.0,0.00041320124001153346,1.2678532436236694
238,simple,0.1,0.1,9.0,0.00048626015800653534,1.2696460335015538
239,simple,0.1,0.1,9.0,0.0005722367659350214,1.2721186978861676
240,simple,0.1,0.1,9.0,0.0006734150657750821,1.2755253909515225
241,simple,0.1,0.1,9.0,0.0007924828983539169,1.280212334611134
242,simple,0.1,0.1,9.0,0.0009326033468832199,1.2866483982611638
243,simple,0.1,0.1,9.0,0.0010974987654930556,1.2954634253841266
244,simple,0.1,0.1,9.0,0.001291549665014884,1.307493126655334
245,simple,0.1,0.1,9.0,0.0015199110829529332,1.3238258221688923
246,simple,0.1,0.1,9.0,0.001788649529057435,1.3458366253545984
247,simple,0.1,0.1,9.0,0.00210490414451202,1.3751764359477792
248,simple,0.1,0.1,9.0,0.0024770763559917087,1.41364846435893
249,simple,0.1,0.1,9.0,0.002915053062825176,1.4628562367537215
250,simple,0.1,0.1,9.0,0.0034304692863149156,1.5234830710274636
251,simple,0.1,0.1,9.0,0.004037017258596553,1.5942159557852564
252,simple,0.1,0.1,9.0,0.004750810162102793,1.6708877680631926
253,simple,0.1,0.1,9.0,0.005590810182512223,1.7470681109768431
254,simple,0.1,0.1,9.0,0.006579332246575676,1.8165336749371368
255,simple,0.1,0.1,9.0,0.007742636826811269,1.8756969101003866
256,simple,0.1,0.1,9.0,0.009111627561154887,1.9239548631566488
257,simple,0.1,0.1,9.0,0.010722672220103232,1.9624942755846786
258,simple,0.1,0.1,9.0,0.012618568830660211,1.9930753835263846
259,simple,0.1,0.1,9.0,0.014849682622544635,2.01738315388489
260,simple,0.1,0.1,9.0,0.017475284000076828,2.03681122959515
261,simple,0.1,0.1,9.0,0.020565123083486514,2.0524463571868448
262,simple,0.1,0.1,9.0,0.024201282647943835,2.065117429007714
263,simple,0.1,0.1,9.0,0.02848035868435799,2.075453860071331
