,model,C0,S0,pato0,k_ap,GFP
116,original,0.1,0.1,5.0,1.3530477745798076e-05,1006.5119557259226
117,original,0.1,0.1,5.0,1.5922827933410938e-05,1018.1402375539723
118,original,0.1,0.1,5.0,1.873817422860383e-05,1030.8391851351369
119,original,0.1,0.1,5.0,2.2051307399030455e-05,1044.5723643146534
120,original,0.1,0.1,5.0,2.5950242113997373e-05,1059.267185053308
121,original,0.1,0.1,5.0,3.053855508833412e-05,1074.8126433784846
122,original,0.1,0.1,5.0,3.5938136638046256e-05,1091.0591338090892
123,original,0.1,0.1,5.0,4.229242874389499e-05,1107.8217806207622
124,original,0.1,0.1,5.0,4.977023564332114e-05,1124.8867597446358
125,original,0.1,0.1,5.0,5.857020818056661e-05,1142.020707019981
126,original,0.1,0.1,5.0,6.892612104349695e-05,1158.982248559385
127,original,0.1,0.1,5.0,8.111308307896872e-05,1175.5345937803154
128,original,0.1,0.1,5.0,9.545484566618328e-05,1191.4577738582325
129,original,0.1,0.1,5.0,0.00011233240329780277,1206.5590087500952
130,original,0.1,0.1,5.0,0.00013219411484660288,1220.681161144186
131,original,0.1,0.1,5.0,0.00015556761439304722,1233.7077285209577
132,original,0.1,0.1,5.0,0.0001830738280295368,1245.5650674963704
133,original,0.1,0.1,5.0,0.00021544346900318823,1256.221754266037
134,original,0.1,0.1,5.0,0.00025353644939701115,1265.685391029161
135,original,0.1,0.1,5.0,0.0002983647240283337,1273.9972973191946
136,original,0.1,0.1,5.0,0.0003511191734215131,1281.2259494733883
137,original,0.1,0.1,5.0,0.00041320124001153346,1287.4590087478177
138,original,0.1,0.1,5.0,0.00048626015800653534,1292.7955488747473
139,original,0.1,0.1,5.0,0.0005722367659350214,1297.3388306579675
140,original,0.1,0.1,5.0,0.0006734150657750821,1301.1903452047884
141,original,0.1,0.1,5.0,0.0007924828983539169,1304.4455634186102
142,original,0.1,0.1,5.0,0.0009326033468832199,1307.1913889713558
143,original,0.1,0.1,5.0,0.0010974987654930556,1309.5049020615131
144,original,0.1,0.1,5.0,0.001291549665014884,1311.453192363594
145,original,0.1,0.1,5.0,0.0015199110829529332,1313.093873251858
